"X","trialNum","rt","subject","condition","InducerL","InducerR","ConcurrentL","ConcurrentR","choice"
0,1,9226,"0BwAB3cQny","Noise-Shape-Speed-10","Affect-EB-H","Affect-EB-L","Noise-Piano-H","Noise-Piano-L",1
1,2,7482,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Hum-L","Noise-Hum-H","Speed-SP3-L","Speed-SP3-H",1
2,3,6335,"0BwAB3cQny","Noise-Shape-Speed-10","Brightness-Squares-L","Brightness-Squares-H","Speed-SP2-H","Speed-SP2-L",1
3,4,6459,"0BwAB3cQny","Noise-Shape-Speed-10","Amp-Pulse-L","Amp-Pulse-H","Speed-SP3-H","Speed-SP3-L",1
4,5,6483,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Hum-H","Noise-Hum-L","Speed-SP2-L","Speed-SP2-H",1
5,6,8374,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Pulse-L","Noise-Pulse-H","Pitch-Piano-L","Pitch-Piano-H",0
6,7,3768,"0BwAB3cQny","Noise-Shape-Speed-10","Brightness-Squares-L","Brightness-Squares-H","Speed-SP3-H","Speed-SP3-L",1
7,8,5369,"0BwAB3cQny","Noise-Shape-Speed-10","Brightness-Squares-H","Brightness-Squares-L","Shape-BK2-L","Shape-BK2-H",0
8,9,4081,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK1-H","Shape-BK1-L","Brightness-Squares-L","Brightness-Squares-H",0
9,10,5043,"0BwAB3cQny","Noise-Shape-Speed-10","Amp-Pulse-L","Amp-Pulse-H","Shape-BK2-H","Shape-BK2-L",1
10,11,6608,"0BwAB3cQny","Noise-Shape-Speed-10","Color-RY-L","Color-RY-H","Noise-Piano-H","Noise-Piano-L",1
11,12,13163,"0BwAB3cQny","Noise-Shape-Speed-10","Pitch-Piano-H","Pitch-Piano-L","Noise-Piano-L","Noise-Piano-H",1
12,13,3347,"0BwAB3cQny","Noise-Shape-Speed-10","Color-RY-H","Color-RY-L","Shape-BK4-H","Shape-BK4-L",1
13,14,8478,"0BwAB3cQny","Noise-Shape-Speed-10","Amp-Pulse-L","Amp-Pulse-H","Noise-Tone-H","Noise-Tone-L",0
14,15,6308,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP4-H","Speed-SP4-L","Pitch-Piano-L","Pitch-Piano-H",0
15,16,5375,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP1-H","Speed-SP1-L","Noise-Piano-L","Noise-Piano-H",0
16,17,4724,"0BwAB3cQny","Noise-Shape-Speed-10","Color-RY-H","Color-RY-L","Speed-SP2-L","Speed-SP2-H",0
17,18,6070,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK3-H","Shape-BK3-L","Noise-Piano-L","Noise-Piano-H",0
18,19,4967,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Pulse-L","Noise-Pulse-H","Brightness-Squares-H","Brightness-Squares-L",0
19,20,5892,"0BwAB3cQny","Noise-Shape-Speed-10","Size-Triangles-L","Size-Triangles-H","Shape-BK4-H","Shape-BK4-L",0
20,21,3310,"0BwAB3cQny","Noise-Shape-Speed-10","Brightness-Squares-H","Brightness-Squares-L","Shape-BK4-L","Shape-BK4-H",0
21,22,4102,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK3-L","Shape-BK3-H","Noise-Tone-L","Noise-Tone-H",0
22,23,6944,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Hum-H","Noise-Hum-L","Shape-BK4-L","Shape-BK4-H",0
23,24,4103,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Pulse-H","Noise-Pulse-L","Color-RY-H","Color-RY-L",1
24,25,5033,"0BwAB3cQny","Noise-Shape-Speed-10","Size-Triangles-L","Size-Triangles-H","Noise-Piano-H","Noise-Piano-L",0
25,26,5652,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Hum-L","Noise-Hum-H","Affect-EB-L","Affect-EB-H",1
26,27,4996,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP4-L","Speed-SP4-H","Shape-BK3-H","Shape-BK3-L",1
27,28,4306,"0BwAB3cQny","Noise-Shape-Speed-10","Affect-EB-H","Affect-EB-L","Speed-SP2-H","Speed-SP2-L",0
28,29,6073,"0BwAB3cQny","Noise-Shape-Speed-10","Size-Triangles-L","Size-Triangles-H","Speed-SP2-L","Speed-SP2-H",1
29,30,6378,"0BwAB3cQny","Noise-Shape-Speed-10","Pitch-Piano-H","Pitch-Piano-L","Noise-Tone-L","Noise-Tone-H",1
30,31,4531,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP1-H","Speed-SP1-L","Shape-BK3-L","Shape-BK3-H",0
31,32,6153,"0BwAB3cQny","Noise-Shape-Speed-10","Amp-Pulse-L","Amp-Pulse-H","Speed-SP2-H","Speed-SP2-L",1
32,33,3305,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK3-L","Shape-BK3-H","Brightness-Squares-L","Brightness-Squares-H",1
33,34,3813,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK3-L","Shape-BK3-H","Noise-Hum-L","Noise-Hum-H",0
34,35,7292,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Hum-L","Noise-Hum-H","Shape-BK2-L","Shape-BK2-H",0
35,36,5316,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK1-H","Shape-BK1-L","Pitch-Piano-L","Pitch-Piano-H",1
36,37,4766,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK1-L","Shape-BK1-H","Color-RY-L","Color-RY-H",0
37,38,3645,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK3-H","Shape-BK3-L","Affect-EB-H","Affect-EB-L",1
38,39,4374,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP4-L","Speed-SP4-H","Affect-EB-L","Affect-EB-H",0
39,40,4368,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP1-L","Speed-SP1-H","Shape-BK4-L","Shape-BK4-H",0
40,41,3636,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK1-L","Shape-BK1-H","Affect-EB-H","Affect-EB-L",0
41,42,4142,"0BwAB3cQny","Noise-Shape-Speed-10","Brightness-Squares-L","Brightness-Squares-H","Noise-Tone-L","Noise-Tone-H",1
42,43,4635,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP1-L","Speed-SP1-H","Color-RY-L","Color-RY-H",1
43,44,5054,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP1-H","Speed-SP1-L","Brightness-Squares-H","Brightness-Squares-L",0
44,45,3136,"0BwAB3cQny","Noise-Shape-Speed-10","Affect-EB-L","Affect-EB-H","Speed-SP3-H","Speed-SP3-L",1
45,46,4110,"0BwAB3cQny","Noise-Shape-Speed-10","Pitch-Piano-H","Pitch-Piano-L","Speed-SP3-L","Speed-SP3-H",0
46,47,3034,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP4-L","Speed-SP4-H","Brightness-Squares-H","Brightness-Squares-L",1
47,48,4477,"0BwAB3cQny","Noise-Shape-Speed-10","Noise-Hum-L","Noise-Hum-H","Color-RY-H","Color-RY-L",1
48,49,4446,"0BwAB3cQny","Noise-Shape-Speed-10","Shape-BK1-L","Shape-BK1-H","Amp-Pulse-L","Amp-Pulse-H",0
49,50,2646,"0BwAB3cQny","Noise-Shape-Speed-10","Color-RY-L","Color-RY-H","Speed-SP3-L","Speed-SP3-H",1
50,51,3220,"0BwAB3cQny","Noise-Shape-Speed-10","Speed-SP4-L","Speed-SP4-H","Amp-Pulse-L","Amp-Pulse-H",0
