Unnamed: 0,Inducer,Concurrent,Comparison,Prediction,comparitor,ImputedPrediction
1,Affect EB,Amp,Affect EB-Amp,0.741044937,Amp,0.741044937
2,Affect EB,Brightness,Affect EB-Brightness,0.168535791,Brightness,0.168535791
3,Affect EB,Color RB,Affect EB-Color RB,0.650821579,Color RB,0.650821579
4,Affect EB,Color RG,Affect EB-Color RG,0.702554179,Color RG,0.702554179
5,Affect EB,Color RY,Affect EB-Color RY,0.399487731,Color RY,0.399487731
6,Affect EB,Color YB,Affect EB-Color YB,0.685190496,Color YB,0.685190496
7,Affect EB,Noise,Affect EB-Noise,0.76044551,Noise,0.76044551
8,Affect EB,Pitch,Affect EB-Pitch,0.628202716,Pitch,0.628202716
9,Affect EB,Shape,Affect EB-Shape,0.884635296,Shape,0.884635296
10,Affect EB,Size,Affect EB-Size,0.545782696,Size,0.545782696
11,Affect EB,Speed,Affect EB-Speed,0.216102391,Speed,0.216102391
12,Affect HS,Amp,Affect HS-Amp,,Amp,0.520593875909
13,Affect HS,Brightness,Affect HS-Brightness,0.684782999,Brightness,0.684782999
14,Affect HS,Color RB,Affect HS-Color RB,0.386561677,Color RB,0.386561677
15,Affect HS,Color RG,Affect HS-Color RG,,Color RG,0.520593875909
16,Affect HS,Color RY,Affect HS-Color RY,,Color RY,0.520593875909
17,Affect HS,Color YB,Affect HS-Color YB,0.8110898,Color YB,0.8110898
18,Affect HS,Noise,Affect HS-Noise,,Noise,0.520593875909
19,Affect HS,Pitch,Affect HS-Pitch,0.212597817,Pitch,0.212597817
20,Affect HS,Shape,Affect HS-Shape,0.076837654,Shape,0.076837654
21,Affect HS,Size,Affect HS-Size,0.132052723,Size,0.132052723
22,Affect HS,Speed,Affect HS-Speed,0.494376158,Speed,0.494376158
23,Affect PD,Amp,Affect PD-Amp,,Amp,0.520593875909
24,Affect PD,Brightness,Affect PD-Brightness,0.845620723,Brightness,0.845620723
25,Affect PD,Color RB,Affect PD-Color RB,0.661952195,Color RB,0.661952195
26,Affect PD,Color RG,Affect PD-Color RG,0.455278897,Color RG,0.455278897
27,Affect PD,Color RY,Affect PD-Color RY,0.146372832,Color RY,0.146372832
28,Affect PD,Color YB,Affect PD-Color YB,0.771562124,Color YB,0.771562124
29,Affect PD,Noise,Affect PD-Noise,,Noise,0.520593875909
30,Affect PD,Pitch,Affect PD-Pitch,0.125633718,Pitch,0.125633718
31,Affect PD,Shape,Affect PD-Shape,0.256604146,Shape,0.256604146
32,Affect PD,Size,Affect PD-Size,0.882969413,Size,0.882969413
33,Affect PD,Speed,Affect PD-Speed,,Speed,0.520593875909
