,Affect EB,Affect HS,Affect PD,Affect SC,Pitch,Amplitude,Noise,Size,Shape,Speed,Brightness,Color RB,Color RG,Color RY,Color YB
Affect EB,,,,,,,,,,,,,,,
Affect HS,,,,,,,,,,,,,,,
Affect PD,,,,,,,,,,,,,,,
Affect SC,,,,,,,,,,,,,,,
Pitch,0,0,0,0,,,,,,,,,,,
Amplitude,0,0,0,0,0,,,,,,,,,,
Noise,0,0,0,0,0,0,,,,,,,,,
Size,0,0,0,0,0,0,0,,,,,,,,
Shape,0,0,0,0,0,0,0,0,,,,,,,
Speed,0,0,0,0,0,0,0,0,0,,,,,,
Brightness,0,0,0,0,0,0,0,0,0,0,,,,,
Color RB,0,0,0,0,0,0,0,0,0,0,0,,,,
Color RG,0,0,0,0,0,0,0,0,0,0,0,,,,
Color RY,0,0,0,0,0,0,0,0,0,0,0,,,,
Color YB,0,0,0,0,0,0,0,0,0,0,0,,,,
